coverage_item_id,requirement_id,target_module,coverage_item,coverage_strategy,priority
CI-001,REQ-001,Order Processing,Validate: return successful response,Equivalence Partitioning,Medium
CI-002,REQ-001,Order Processing,Boundary validation for valid input range,Boundary Value Analysis,Medium
CI-003,REQ-001,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,Medium
CI-004,REQ-002,Product Management,Validate: return successful response,Equivalence Partitioning,Low
CI-005,REQ-003,Order Processing,Validate: return successful response,Equivalence Partitioning,Medium
CI-006,REQ-003,Order Processing,Boundary validation for valid input range,Boundary Value Analysis,Medium
CI-007,REQ-003,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,Medium
CI-008,REQ-004,Product Management,Validate: return successful response,Equivalence Partitioning,Low
CI-009,REQ-005,Product Management,Validate: return successful response,Equivalence Partitioning,Low
CI-010,REQ-006,Order Processing,Validate: return successful response,Equivalence Partitioning,Medium
CI-011,REQ-006,Order Processing,Boundary validation for valid input range,Boundary Value Analysis,Medium
CI-012,REQ-006,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,Medium
CI-013,REQ-007,Order Processing,Validate: reject order and return 400 Bad Request,Equivalence Partitioning,High
CI-014,REQ-007,Order Processing,Boundary validation for items length = 0,Boundary Value Analysis,High
CI-015,REQ-007,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,High
CI-016,REQ-008,Order Processing,Validate: reject request and return 400 Bad Request,Equivalence Partitioning,High
CI-017,REQ-008,Order Processing,Boundary validation for required field is null or empty,Boundary Value Analysis,High
CI-018,REQ-008,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,High
CI-019,REQ-009,Order Processing,Validate: reject order and return 400 Bad Request,Equivalence Partitioning,High
CI-020,REQ-009,Order Processing,Boundary validation for quantity > stock,Boundary Value Analysis,High
CI-021,REQ-009,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,High
CI-022,REQ-010,Order Processing,Validate: update product stock,Equivalence Partitioning,High
CI-023,REQ-010,Order Processing,Boundary validation for stock after order = original stock - ordered quantity,Boundary Value Analysis,High
CI-024,REQ-010,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,High
CI-025,REQ-011,Order Processing,Validate: return successful response,Equivalence Partitioning,Medium
CI-026,REQ-011,Order Processing,Boundary validation for valid input range,Boundary Value Analysis,Medium
CI-027,REQ-011,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,Medium
CI-028,REQ-012,Order Processing,Validate: update order status,Equivalence Partitioning,High
CI-029,REQ-012,Order Processing,"Boundary validation for status in [pending, completed, cancelled]",Boundary Value Analysis,High
CI-030,REQ-012,Order Processing,"Decision combinations for valid/invalid product, quantity, stock, and customer information",Decision Table Testing,High
