requirement_id,target_module,business_impact,failure_probability,complexity,failure_impact,risk_score,risk_level,priority,risk_reason
REQ-001,Order Processing,3,1,2,3,7,Medium,Medium,Product data underpins browsing and management.
REQ-002,Product Management,2,1,1,1,2,Low,Low,Product data underpins browsing and management.
REQ-003,Order Processing,3,1,2,3,7,Medium,Medium,Product data underpins browsing and management.
REQ-004,Product Management,2,1,1,1,2,Low,Low,Product data underpins browsing and management.
REQ-005,Product Management,2,1,1,1,2,Low,Low,Product data underpins browsing and management.
REQ-006,Order Processing,3,1,1,3,6,Medium,Medium,Order processing is a core business workflow.
REQ-007,Order Processing,3,3,1,3,8,High,High,Order processing is a core business workflow.
REQ-008,Order Processing,3,3,1,3,8,High,High,Order processing is a core business workflow.
REQ-009,Order Processing,3,3,2,3,9,High,High,Order and stock logic directly affects core business correctness.
REQ-010,Order Processing,3,1,2,3,7,Medium,Medium,Order and stock logic directly affects core business correctness.
REQ-011,Order Processing,3,1,1,3,6,Medium,Medium,Order processing is a core business workflow.
REQ-012,Order Processing,3,1,2,3,7,Medium,Medium,Order processing is a core business workflow.
REQ-013,General,2,1,1,1,2,Low,Low,Priority classified as Low based on impact and complexity.
